ISO_A3,Country or region,Note,World Bank Region,"Total population, 2018","Total area, 2018",Evaluated area,Level 1 area (% of evaluated area),"Human development Index, 2017","Gross domestic product (USD per capita), 2018","Average theoretical potential (GHI, kWh/m2/day), long-term","Average practical potential (PVOUT Level 1, kWh/kWp/day), long-term","Average economic potential (LCOE, USD/kWh), 2018","Average PV seasonality index, long-term","PV equivalent area (% of total area), long-term","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (Wp per capita), 2018","Access to electricity (% of rural population), 2016","Electric power consumption (kWh per capita), 2014","Reliability of supply and transparency of tariff index, 2019","Approximate electricity Tariffs for SMEs (US cent/kWh), 2019"
URY,Uruguay,,LCR,3449299,175020.0,175020,0.952390203625678,0.803948433136911,17277.9701105496,4.7898,4.3043,0.0988,1.654,0.039,248.2,71.9566497424549,100.0,3085.1944193006,6.0,16.9
USA,United States of America,up to parallel 60°N,Other,327167434,9147420.0,8039753,0.663291481808138,0.923913588724616,62641.0145699281,4.4984,4.3584,0.1028,1.8847,0.425,49692.0,151.885532714726,100.0,12993.9618247727,7.2,17.1
UZB,Uzbekistan,,ECA,32955400,425400.0,425400,0.484090668905969,0.709846646692492,1532.37163919396,4.5128,4.2688,0.0997,2.4776,0.107,3.9,0.118341758861977,100.0,1645.44162925056,8.0,5.7
VCT,Saint Vincent and the Grenadines,,LCR,110210,390.0,390,0.5,0.722707899234581,7377.67883199414,5.1861,4.2728,0.1025,1.2374,,1.3,11.7956628255149,100.0,,0.0,31.5
VEN,R. B. de Venezuela,,LCR,28870195,882050.0,882050,0.459565743292079,0.760772990078813,,5.3497,4.3545,0.0977,1.2605,0.039,4.0,0.13855119440655,96.3843754389501,2718.94277456043,0.0,
VGB,British Virgin Islands (U.K.),,Other,29802,150.0,150,0.533678756476684,,,5.756,4.8547,0.0877,1.2159,,0.2,6.71095899604053,,,,
VIR,United States Virgin Islands (U.S.),,Other,106977,350.0,350,0.619815668202765,,35938.0243875154,5.6868,4.7504,0.0751,1.2073,,5.0,46.7390186675641,100.0,,,
VNM,Vietnam,,EAP,95540395,310070.0,310070,0.591920527148551,0.693998062133881,2563.82073058085,4.2521,3.5544,0.1219,1.7401,0.251,106.4,1.113665062825,100.0,1423.68834535005,7.0,12.3
VUT,Vanuatu,,EAP,292680,12190.0,12190,0.098453261600538,0.60257391539552,3033.40814644607,4.3046,3.5305,0.1245,1.4571,,2.7,9.22509225092251,46.44,,4.0,43.6
WSM,Samoa,,EAP,196130,2830.0,2830,0.089897510980966,0.712812176548273,4392.46775479595,4.7821,4.0529,0.1064,1.2534,,13.5,68.8318972110335,100.0,,4.0,39.1
XKO,Kosovo,,ECA,1845300,10887.0,10887,0.790152130995239,,4281.29232946159,3.8542,3.6959,0.115,2.6972,,,,,,2.0,
YEM,Republic of Yemen,,MENA,28498687,527970.0,527970,0.515186514919559,0.45190042638439,944.408499373419,6.4675,5.2137,0.0818,1.4058,0.005,150.0,5.26340038051578,57.6911624125305,219.799922434946,,
ZAF,South Africa,,AFR,57779622,1213090.0,1213090,0.842474974725978,0.699030054682269,6374.01544590635,5.6293,5.0036,0.1146,1.2286,0.116,2558.8,44.2855095175251,67.9214351327324,4197.90704691753,4.0,14.8
ZMB,Zambia,,AFR,17351822,743390.0,743390,0.804837777959758,0.588083472468451,1539.90015779907,5.8834,4.8281,0.088,1.3924,0.007,5.0,0.28815417769961,2.65774574590031,717.349167873017,4.0,4.7
ZWE,Zimbabwe,,AFR,14439018,386850.0,386850,0.947084644691072,0.534553285754596,2146.99638487707,5.781,4.8611,0.0875,1.2749,0.01,10.6,0.734121946520186,15.575583712267,609.125952099707,0.0,11.9
